,make_model,body_type,price,km,Fuel,Previous_Owners,hp_kW,Upholstery_type,Nr_of_Doors,Gearing_Type,Drive_chain,registration
0,Audi A1,Sedans,15770,56013.0,Diesel,2.0,66.0,Cloth,5.0,Automatic,front,2016-01-01
1,Audi A1,Sedans,14500,80000.0,Benzine,1.0,141.0,Cloth,3.0,Automatic,front,2017-03-01
2,Audi A1,Sedans,14640,83450.0,Diesel,1.0,85.0,Cloth,4.0,Automatic,front,2016-02-01
3,Audi A1,Sedans,14500,73000.0,Diesel,1.0,66.0,Cloth,3.0,Automatic,front,2016-08-01
4,Audi A1,Sedans,16790,16200.0,Diesel,1.0,66.0,Cloth,5.0,Automatic,front,2016-05-01
5,Audi A1,Sedans,15090,63668.0,Diesel,1.0,85.0,Part/Full Leather,4.0,Automatic,front,2016-02-01
6,Audi A1,Station wagon,16422,62111.0,Diesel,1.0,85.0,Part/Full Leather,4.0,Automatic,front,2016-03-01
7,Audi A1,Compact,14480,14986.0,Diesel,1.0,66.0,Cloth,5.0,Automatic,front,2016-02-01
8,Audi A1,Sedans,16700,57000.0,Diesel,1.0,85.0,Cloth,5.0,Automatic,front,2016-02-01
9,Audi A1,Sedans,17990,16103.0,Benzine,1.0,70.0,Cloth,5.0,Automatic,front,2017-06-01
10,Audi A1,Sedans,18500,11300.0,Diesel,1.0,85.0,Cloth,3.0,Automatic,front,2018-05-01
11,Audi A1,Sedans,17990,26415.0,Benzine,1.0,92.0,Cloth,4.0,Automatic,front,2016-05-01
12,Audi A1,Sedans,18380,31600.0,Benzine,1.0,92.0,Part/Full Leather,5.0,Automatic,front,2016-09-01
13,Audi A1,Sedans,18399,45764.0,Benzine,1.0,112.0,Part/Full Leather,3.0,Automatic,front,2016-06-01
14,Audi A1,Sedans,17990,34914.0,Benzine,1.0,70.0,Cloth,5.0,Automatic,front,2016-10-01
15,Audi A1,Sedans,18700,27000.0,Diesel,1.0,85.0,Cloth,5.0,Automatic,front,2016-04-01
16,Audi A1,Sedans,18900,9752.0,Diesel,1.0,85.0,Cloth,5.0,Automatic,front,2018-06-01
17,Audi A1,Sedans,18500,28408.0,Diesel,1.0,66.0,Cloth,5.0,Automatic,front,2017-11-01
18,Audi A1,Compact,18400,50280.0,Benzine,1.0,70.0,Cloth,5.0,Automatic,front,2016-07-01
19,Audi A1,Sedans,18500,13406.0,Diesel,1.0,85.0,Cloth,5.0,Automatic,front,2018-05-01
20,Audi A1,Sedans,18500,51160.0,Diesel,1.0,85.0,Cloth,5.0,Automatic,front,2017-06-01
21,Audi A1,Sedans,18500,15850.0,Benzine,1.0,92.0,Cloth,5.0,Automatic,front,2016-03-01
22,Audi A1,Sedans,18900,17000.0,Benzine,1.0,92.0,Cloth,3.0,Automatic,front,2016-12-01
23,Audi A1,Sedans,18850,9077.0,Diesel,1.0,85.0,Part/Full Leather,5.0,Automatic,front,2018-05-01
24,Audi A1,Sedans,18500,3000.0,Benzine,1.0,70.0,Cloth,5.0,Automatic,front,2018-09-01
25,Audi A1,Sedans,8999,115000.0,Benzine,1.0,70.0,Cloth,5.0,Manual,front,2016-05-01
26,Audi A1,Compact,11444,84029.0,Benzine,1.0,70.0,Cloth,2.0,Manual,front,2016-03-01
27,Audi A1,Sedans,11300,67800.0,Benzine,1.0,70.0,Cloth,5.0,Manual,front,2016-06-01
28,Audi A1,Sedans,18900,14556.0,Diesel,1.0,66.0,Cloth,5.0,Automatic,front,2018-04-01
29,Audi A1,Compact,11290,22000.0,Benzine,1.0,70.0,Cloth,4.0,Manual,front,2016-03-01
30,Audi A1,Compact,11290,38400.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-06-01
31,Audi A1,Sedans,11440,83307.0,Diesel,1.0,66.0,Cloth,3.0,Manual,front,2016-05-01
32,Audi A1,Compact,11445,39668.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-03-01
33,Audi A1,Sedans,11700,30353.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-08-01
34,Audi A1,Sedans,11900,126000.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-06-01
35,Audi A1,Compact,11949,57500.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-01-01
36,Audi A1,Sedans,11890,73945.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-04-01
37,Audi A1,Sedans,11600,96000.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2017-07-01
38,Audi A1,Sedans,11900,43120.0,Benzine,2.0,60.0,Cloth,3.0,Manual,front,2016-10-01
39,Audi A1,Compact,11630,110715.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-01-01
40,Audi A1,Compact,11880,31971.0,Benzine,1.0,60.0,Cloth,3.0,Manual,front,2016-04-01
41,Audi A1,Compact,11800,94800.0,Diesel,1.0,66.0,Cloth,4.0,Manual,front,2016-02-01
42,Audi A1,Compact,11850,85000.0,Diesel,1.0,66.0,Cloth,4.0,Manual,front,2016-02-01
43,Audi A1,Compact,11569,111265.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-03-01
44,Audi A1,Sedans,11490,44120.0,Diesel,1.0,66.0,Cloth,2.0,Manual,front,2016-01-01
45,Audi A1,Sedans,11490,97976.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-06-01
46,Audi A1,Sedans,11500,106000.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-06-01
47,Audi A1,Sedans,11790,60000.0,Diesel,0.0,85.0,Cloth,5.0,Manual,front,2016-06-01
48,Audi A1,Compact,11490,58000.0,Benzine,2.0,60.0,Part/Full Leather,2.0,Manual,front,2016-04-01
49,Audi A1,Compact,11470,57454.0,Benzine,1.0,60.0,Cloth,3.0,Manual,front,2016-10-01
50,Audi A1,Compact,11480,94055.0,Diesel,1.0,66.0,Cloth,4.0,Manual,front,2016-10-01
51,Audi A1,Sedans,11180,56000.0,Benzine,1.0,70.0,Cloth,5.0,Manual,front,2016-06-01
52,Audi A1,Sedans,11450,27600.0,Benzine,1.0,70.0,Cloth,5.0,Manual,front,2016-03-01
53,Audi A1,Compact,11100,111670.0,Diesel,1.0,85.0,Cloth,5.0,Manual,front,2016-06-01
54,Audi A1,Compact,10900,30500.0,Diesel,1.0,66.0,Cloth,3.0,Manual,front,2016-03-01
55,Audi A1,Compact,10999,69500.0,Benzine,1.0,70.0,Cloth,2.0,Manual,front,2017-02-01
56,Audi A1,Compact,10900,43500.0,Benzine,1.0,60.0,Cloth,2.0,Manual,front,2016-11-01
57,Audi A1,Sedans,10950,45696.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-04-01
58,Audi A1,Sedans,10800,34000.0,Diesel,2.0,66.0,Part/Full Leather,3.0,Manual,front,2016-12-01
59,Audi A1,Sedans,10600,55000.0,Benzine,2.0,70.0,Part/Full Leather,3.0,Manual,front,2016-06-01
60,Audi A1,Sedans,10800,99000.0,Diesel,1.0,66.0,Cloth,5.0,Manual,front,2016-01-01
61,Audi A1,Compact,9950,118500.0,Benzine,1.0,70.0,Cloth,3.0,Manual,front,2016-05-01
62,Audi A1,Sedans,10300,85000.0,Benzine,1.0,70.0,Cloth,5.0,Manual,front,2016-07-01
